2 1 1 1 1.869306
3 1 1 1 1.788486
3 1 1 2 2.958451
3 1 2 1 3.962928
3 1 2 2 4.960258
3 2 1 1 4.969055
3 2 1 2 6.960965
3 2 2 1 7.949498
3 2 2 2 9.961751
4 1 1 1 1.963871
4 1 1 2 2.966149
4 1 1 3 3.959080
4 1 2 1 3.961279
4 1 2 2 4.966856
4 1 2 3 5.944393
4 1 3 1 5.962536
4 1 3 2 7.000550
4 1 3 3 7.915960
4 2 1 1 4.954210
4 2 1 2 6.970312
4 2 1 3 8.935832
4 2 2 1 7.937402
4 2 2 2 9.939209
4 2 2 3 12.054274
4 2 3 1 11.827758
4 2 3 2 13.960416
4 2 3 3 15.971019
4 3 1 1 6.969212
4 3 1 2 9.938109
4 3 1 3 12.954839
4 3 2 1 11.938817
4 3 2 2 15.972669
4 3 2 3 18.950363
4 3 3 1 17.920595
4 3 3 2 20.967014
4 3 3 3 23.928764
5 1 1 1 1.945178
5 1 1 2 2.968897
5 1 1 3 3.944235
5 1 1 4 4.961358
5 1 2 1 3.961829
5 1 2 2 4.960808
5 1 2 3 5.965285
5 1 2 4 6.922479
5 1 3 1 5.960337
5 1 3 2 6.958216
5 1 3 3 7.957195
5 1 3 4 8.963871
5 1 4 1 6.952168
5 1 4 2 7.950598
5 1 4 3 8.958373
5 1 4 4 9.960101
5 2 1 1 4.964107
5 2 1 2 6.918631
5 2 1 3 8.972118
5 2 1 4 10.937638
5 2 2 1 7.964892
5 2 2 2 9.938109
5 2 2 3 11.957510
5 2 2 4 13.965364
5 2 3 1 11.944864
5 2 3 2 13.946671
5 2 3 3 15.963322
5 2 3 4 17.947535
5 2 4 1 14.949499
5 2 4 2 16.996938
5 2 4 3 18.906929
5 2 4 4 20.936775
5 3 1 1 6.956567
5 3 1 2 9.977145
5 3 1 3 12.924051
5 3 1 4 15.946278
5 3 2 1 11.948163
5 3 2 2 15.956175
5 3 2 3 18.954211
5 3 2 4 21.963794
5 3 3 1 17.959081
5 3 3 2 20.936775
5 3 3 3 23.941409
5 3 3 4 26.936697
5 3 4 1 22.947928
5 3 4 2 25.948164
5 3 4 3 28.951699
5 3 4 4 31.942038
5 4 1 1 9.926014
5 4 1 2 13.964814
5 4 1 3 17.931041
5 4 1 4 21.947850
5 4 2 1 16.949656
5 4 2 2 20.962616
5 4 2 3 24.947536
5 4 2 4 28.957197
5 4 3 1 23.911171
5 4 3 2 27.955469
5 4 3 3 31.938740
5 4 3 4 35.936855
5 4 4 1 29.922638
5 4 4 2 34.914784
5 4 4 3 38.928294
5 4 4 4 42.933007
