0,preproc
1,preproc
2,preproc
3,preproc
4,preproc
5,preproc
6,preproc
7,preproc
8,preproc
9,preproc
10,preproc
11,preproc
12,preproc
13,preproc
14,preproc
15,preproc
16,preproc
17,preproc
18,preproc
19,preproc
20,preproc
21,preproc
22,preproc
23,preproc
24,func
25,{
26,op
27,op
28,op
29,op
30,op
31,op
32,op
33,op
34,op
35,op
36,op
37,op
38,for
39,for
40,{
41,op
42,op
43,op
44,}
45,for
46,{
47,op
48,op
49,op
50,op
51,op
52,if
53,op
54,else
55,if
56,op
57,if
58,op
59,else
60,if
61,op
62,op
63,op
64,}
65,op
66,for
67,{
68,op
69,op
70,op
71,for
72,for
73,op
74,for
75,for
76,{
77,op
78,op
79,}
80,preproc
81,for
82,{
83,op
84,op
85,}
86,preproc
87,for
88,{
89,op
90,op
91,if
92,op
93,else
94,if
95,op
96,if
97,op
98,else
99,if
100,op
101,op
102,op
103,op
104,}
105,for
106,for
107,op
108,do
109,{
110,op
111,preproc
112,for
113,for
114,{
115,op
116,if
117,{
118,op
119,op
120,if
121,op
122,op
123,}
124,}
125,preproc
126,for
127,for
128,{
129,op
130,if
131,{
132,op
133,op
134,if
135,op
136,op
137,}
138,}
139,for
140,{
141,op
142,op
143,}
144,}
145,while
146,op
147,}
148,for
149,{
150,for
151,op
152,op
153,}
154,return
155,}
